insurance,gender,ethnicity,diagnosis,count
Government,F,BLACK/AFRICAN AMERICAN,LOWER GASTROINTEDTINAL BLEED,3.0
Government,F,BLACK/AFRICAN AMERICAN,LOWER GASTROINTESTINAL BLEED,2.0
Government,F,BLACK/AFRICAN AMERICAN,NEWBORN,2.0
Government,F,BLACK/AFRICAN AMERICAN,PNEUMONIA,5.0
Government,F,BLACK/AFRICAN AMERICAN,PNEUMONIA;RESPIRATORY DISTRESS,2.0
Government,F,BLACK/AFRICAN AMERICAN,POST PARTUM CARDIOMYOPATHY,6.0
Government,F,BLACK/AFRICAN AMERICAN,PREMATURITY,2.0
Government,F,BLACK/AFRICAN AMERICAN,RESPIRATORY FAILURE,2.3333333333333335
Government,F,BLACK/AFRICAN AMERICAN,SEPSIS,2.5
Government,F,BLACK/AFRICAN AMERICAN,SEPSIS;WOUND INFECTION,2.0
Government,F,BLACK/AFRICAN AMERICAN,SHOULDER PAIN,5.0
Government,F,BLACK/AFRICAN AMERICAN,UPPER GASTROINTESTINAL BLEED,5.0
Government,F,BLACK/AFRICAN AMERICAN,UPPER GI BLEED,6.833333333333333
Government,F,BLACK/AFRICAN AMERICAN,VOMITING,3.0
Government,F,BLACK/AFRICAN AMERICAN,WEAKNESS,3.0
Government,F,BLACK/CAPE VERDEAN,FEVER,2.0
Government,F,BLACK/CAPE VERDEAN,LOWER BACK PAIN,2.0
Government,F,BLACK/HAITIAN,CEREBRAL ANEURSYM/SDA,3.0
Government,F,BLACK/HAITIAN,CEREBRAL ANEURYSM/SDA,3.0
Government,F,BLACK/HAITIAN,SUBARACHNOID HEMORRHAGE,3.0
Government,F,HISPANIC OR LATINO,BACK PAIN-WEAKNESS,4.0
Government,F,HISPANIC OR LATINO,BRAIN MASS/SDA,2.0
Government,F,HISPANIC OR LATINO,CEREBROVASCULAR ACCIDENT,2.0
Government,F,HISPANIC OR LATINO,COMPLETE LEFT PLEURAL EFFUSION,4.0
Government,F,HISPANIC OR LATINO,HEPATIC HYDROTHORAX,4.0
Government,F,HISPANIC OR LATINO,HYDROTHORAX,4.0
Government,F,HISPANIC OR LATINO,INTRACRANIAL HEMORRHAGE,2.0
Government,F,HISPANIC OR LATINO,INTRAPARENCHYMAL HEMORRHAGE,2.0
Government,F,HISPANIC OR LATINO,PELVIC PAIN-? OVARIAN TORSION,2.0
Government,F,HISPANIC OR LATINO,PNEUMONIA,2.0
Government,F,HISPANIC OR LATINO,RASH,2.0
Government,F,HISPANIC OR LATINO,SHORTNESS OF BREATH/R/O PULMONARY EMBOLISM,2.0
Government,F,HISPANIC OR LATINO,UPPER GI BLEED,5.0
Government,F,HISPANIC/LATINO - DOMINICAN,ANGIOEDEMA,2.0
Government,F,HISPANIC/LATINO - DOMINICAN,CEREBRAL ANEURYSM/SDA,2.0
Government,F,HISPANIC/LATINO - DOMINICAN,INTRAPARENCHYMAL HEMORRHAGE,2.0
Government,F,HISPANIC/LATINO - DOMINICAN,LIVER LACERATION,3.0
Government,F,HISPANIC/LATINO - GUATEMALAN,AORTIC DISSERCTION,3.0
Government,F,HISPANIC/LATINO - GUATEMALAN,BENTEL PROCEDURE,3.0
Government,F,HISPANIC/LATINO - GUATEMALAN,THOMACIC ANEURYSM\THORACOABDOMINAL ENDARTERECTOMY/ RIGHT PARTIAL BYPASS; LUBAR DRAIN  ,3.0
Government,F,HISPANIC/LATINO - PUERTO RICAN,ALTERED MENTAL STATUS,2.0
Government,F,HISPANIC/LATINO - PUERTO RICAN,FEVER;TACHYCARDIA,2.0
Government,F,OTHER,ACUTE CORONARY SYNDROME,2.0
Government,F,OTHER,"AVR\AORTIC VALVE REPLACEMENT, RE-DO/SDA",2.0
Government,F,OTHER,BILATERAL SUBDURAL HEMATOMA;HEADACHE,4.0
Government,F,OTHER,CHEMO  DESENTITIZATION,4.0
Government,F,OTHER,CLEANSER INGESTION-RESPIRATORY DISTRESS,2.0
Government,F,OTHER,FOREIGN BODY ESOPHAGUS,2.0
Government,F,OTHER,HEAD INJURY,2.0
Government,F,OTHER,NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;CONGESTIVE HEART FAILURE,4.0
Government,F,OTHER,OVARIAN CANCER\CHEMO/CYCLE OF CARBOPLATIN AND PACLITAXEL,4.0
Government,F,OTHER,OVARIAN CANCER\CHEMOTHERAPY,4.0
Government,F,OTHER,PANCREATITIS,3.0
Government,F,OTHER,PANCREATITIS-GALLSTONES,2.0
Government,F,OTHER,PANCREATITIS;DIABETIC KETOACIDOSIS,4.0
Government,F,OTHER,UPPER GI BLEED,2.0
Government,F,PORTUGUESE,UTI/PYELONEPHRITIS,4.0
Government,F,UNKNOWN/NOT SPECIFIED,"CHEST PAIN,STE MI",8.0
Government,F,UNKNOWN/NOT SPECIFIED,HYPONATREMIA,2.0
Government,F,UNKNOWN/NOT SPECIFIED,RESPIRATORY FAILURE,2.0
Government,F,UNKNOWN/NOT SPECIFIED,SEPSIS,2.0
Government,F,UNKNOWN/NOT SPECIFIED,ST ELEVATION MYOCARDIAL INFARCTION,2.0
Government,F,UNKNOWN/NOT SPECIFIED,TRACHEAL STENOSIS,2.0
Government,F,UNKNOWN/NOT SPECIFIED,VFIB ARREST,2.0
Government,F,WHITE,(AML) ACUTE MYELOGENOUS LEUKEMIA,2.0
Government,F,WHITE,? AORTIC FILLING DEFECT,3.0
Government,F,WHITE,ABDOMINAL PAIN,2.0
Government,F,WHITE,ACUTE CORONARY SYNDROME,2.0
Government,F,WHITE,ALCOHOL WITHDRAWAL,3.0
Government,F,WHITE,ALLERGIC REACTION,2.0
Government,F,WHITE,ALTERED MENTAL STATUS,2.0
Government,F,WHITE,ANEMIA,2.0
Government,F,WHITE,ANGINA,2.0
Government,F,WHITE,AORTIC ANEURYSM,2.0
Government,F,WHITE,"AORTIC DISSECTION, TYPE B",2.0
Government,F,WHITE,ASCITES,2.0
Government,F,WHITE,ASTHMA,2.0
Government,F,WHITE,BOWEL PNEUMATOSIS,2.0
Government,F,WHITE,BRAIN ANEURYSM/SDA,2.0
Government,F,WHITE,BRAIN MASS,2.0
Government,F,WHITE,BRAIN MASS WITH SEIZURE,2.0
Government,F,WHITE,BRAIN MASS/SDA,2.0
Government,F,WHITE,CARDIAC ARREST,3.0
Government,F,WHITE,CEREBRAL ANEURYSM/SDA,2.6666666666666665
Government,F,WHITE,CHEST PAIN,2.0
Government,F,WHITE,CHEST PAIN;TELEMETRY,2.0
Government,F,WHITE,CHOLANGITIS\ERCP ,2.0
Government,F,WHITE,CLOTTED SVC,2.0
Government,F,WHITE,CORONARY ARTERY DISEASE,2.0
Government,F,WHITE,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT /SDA,2.0
Government,F,WHITE,DIABETIC KETOACIDOSIS,4.4
Government,F,WHITE,DISSECTING ABDOMINAL AORTIC ANEURYSM,3.0
Government,F,WHITE,ENDOCARDITIS,2.0
Government,F,WHITE,FEVER,2.0
Government,F,WHITE,GASTROINTESTINAL BLEED,7.0
Government,F,WHITE,GLAGARINE INSULIN OVERDOSE,3.0
Government,F,WHITE,GRAVES DISEASE/SDA,2.0
Government,F,WHITE,HYPERBILIRUBINEMIA,2.0
Government,F,WHITE,HYPERGLYCEMIA;SEIZURE,2.0
Government,F,WHITE,HYPOKALEMIA;TELEMETRY,3.0
Government,F,WHITE,HYPOTENSION,2.0
Government,F,WHITE,INTRACRANIAL HEMORRHAGE,2.0
Government,F,WHITE,LEFT ADNEXAL MASS,2.0
Government,F,WHITE,LEFT INTERNAL CAROTID ARTERY ANEURYSM/SDA,2.0
Government,F,WHITE,LEFT SUPRACLINOID ARTERY ANEURYSM/SDA,2.0
Government,F,WHITE,LUNG CA/SDA,2.0
Government,F,WHITE,MITRAL STENOSIS;INTERSTIAL LUNG DISEASE,2.0
Government,F,WHITE,NEWBORN,2.0
Government,F,WHITE,OVERDOSE;CHANGE IN MENTAL STATUS;TELEMETRY,2.0
Government,F,WHITE,PANCREATIC CA/SDA,3.0
Government,F,WHITE,PANCREATITIS;ALCOHOL,3.0
Government,F,WHITE,PERFORATED BOWEL,2.0
Government,F,WHITE,PNEUMONIA,3.0
Government,F,WHITE,POSTERIOR COMMUNICATING ARTERY ANEURYSM/SDA,2.0
Government,F,WHITE,RENAL FAILURE;V FIB ARREST,2.0
Government,F,WHITE,RIGHT FRONTAL BRAIN TUMOR/SDA,2.0
Government,F,WHITE,SCOLIOSIS/SDA,2.0
Government,F,WHITE,SEPSIS,4.0
Government,F,WHITE,SEVERE HYPOMAG & HYPOKALEMIA,7.0
Government,F,WHITE,SUBARACHNOID HEMORRHAGE,2.0
Government,F,WHITE,THORACIC AORTIC DISSECTION;TELEMETRY,2.0
Government,F,WHITE,THROMBOTIC THROMBOCYTOPENIA PURPURA,2.0
Government,F,WHITE,TYLENOL OD,2.0
Government,F,WHITE,TYLENOL OVERDOSE,2.0
Government,F,WHITE,UNRESPONSIVE,2.0
Government,F,WHITE,UPPER GASTROINTESTINAL BLEED,2.0
Government,F,WHITE,UPPER GI BLEED,5.75
Government,F,WHITE - BRAZILIAN,CEREBRAL ANEURYSM/SDA,2.0
Government,F,WHITE - BRAZILIAN,SUBARACHNOID HEMORRHAGE,2.0
Government,F,WHITE - BRAZILIAN,UPPER GASTROINTESTINAL BLEED,5.0
Government,F,WHITE - BRAZILIAN,UPPER GI BLEED,5.0
Government,M,ASIAN,CEREBRAL AVM/SDA,3.0
Government,M,ASIAN,ESOPHAGEAL CA,2.0
Government,M,ASIAN,FEVER,6.0
Government,M,ASIAN,HYPERBILIRUBINEMIA,2.0
Government,M,ASIAN,INCREASED INR;ACUTE RENAL FAILURE,3.0
Government,M,ASIAN,MR\MITRAL VALVE REPLACEMENT; ?AORTIC VALVE REPLACEMENT; ?CORONARY ARTERY BYPASS GRAFT,3.0
Government,M,ASIAN,NEWBORN,2.0
Government,M,ASIAN,RESPIRATORY FAILURE,4.0
Government,M,ASIAN,RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,2.0
Government,M,ASIAN,SEPSIS,2.0
Government,M,ASIAN,STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK;TELEMETRY,2.0
Government,M,ASIAN - ASIAN INDIAN,RENAL FAILURE,2.0
Government,M,ASIAN - CHINESE,AICD FIRING,2.0
Government,M,ASIAN - CHINESE,PNEUMONIA,2.0
Government,M,ASIAN - CHINESE,VTACH,2.0
Government,M,ASIAN - FILIPINO,ABDOMINAL PAIN,8.0
Government,M,ASIAN - FILIPINO,DIABETIC KETOACIDOSIS,8.0
Government,M,ASIAN - THAI,FEVER,2.0
Government,M,ASIAN - THAI,S/P MVC;COMPAT SYNDROME;TIB FRACTURE,2.0
Government,M,BLACK/AFRICAN AMERICAN,ABD. PAIN,2.0
Government,M,BLACK/AFRICAN AMERICAN,ABDOMINAL PAIN,2.0
Government,M,BLACK/AFRICAN AMERICAN,ACUTE CORONARY SYNDROME,2.0
Government,M,BLACK/AFRICAN AMERICAN,ACUTE RENAL FAILURE,3.0
Government,M,BLACK/AFRICAN AMERICAN,ANEMIA WITH POSITIVE STOOL,3.0
Government,M,BLACK/AFRICAN AMERICAN,BRAIN TUMOR/SDA,2.0
Government,M,BLACK/AFRICAN AMERICAN,CHANGE MENTAL STATUS,4.0
Government,M,BLACK/AFRICAN AMERICAN,CONGESTIVE HEART FAILURE,5.5
Government,M,BLACK/AFRICAN AMERICAN,CORONARY ARTERY DISEASE;PVD\R HEART CATH;PERIPHERAL ANGIO,3.0
Government,M,BLACK/AFRICAN AMERICAN,DIABETIC KETOACIDOSIS,4.0
Government,M,BLACK/AFRICAN AMERICAN,DIABETIC KETOACIDOSIS;PANCREATITIS,3.0
Government,M,BLACK/AFRICAN AMERICAN,DILATED CARDIOMYOPATHY\RIGHT SIDED HEART CATHETERIZATION; EP STUDY; ICD IMPLANT ; DFT **REMOTE WEST**/SDA,4.0
Government,M,BLACK/AFRICAN AMERICAN,DYSPNEA,4.0
Government,M,BLACK/AFRICAN AMERICAN,ELEVATED LFT'S/S/P TRANSPLANT,2.0
Government,M,BLACK/AFRICAN AMERICAN,END STAGE LIVER DISEASE,2.0
Government,M,BLACK/AFRICAN AMERICAN,FAILURE TO THRIVE,2.0
Government,M,BLACK/AFRICAN AMERICAN,FEVER,5.333333333333333
Government,M,BLACK/AFRICAN AMERICAN,"FEVER,DIARRHEA,DEHYDRATION",24.0
Government,M,BLACK/AFRICAN AMERICAN,GASTROINTESTINAL BLEED,4.0
Government,M,BLACK/AFRICAN AMERICAN,GUN SHOT WOUND,2.0
Government,M,BLACK/AFRICAN AMERICAN,HYPERBILIRUBINEMIA,2.0
Government,M,BLACK/AFRICAN AMERICAN,HYPERTENSIVE URGENCY,7.0
Government,M,BLACK/AFRICAN AMERICAN,HYPOGLYCEMIA,2.0
Government,M,BLACK/AFRICAN AMERICAN,HYPOGLYCEMIA/HYPOKALEMIA,4.0
Government,M,BLACK/AFRICAN AMERICAN,HYPOTHERMIA/ABDOMINAL PAIN,2.0
Government,M,BLACK/AFRICAN AMERICAN,NEWBORN,2.0
Government,M,BLACK/AFRICAN AMERICAN,OVERDOSE,2.0
Government,M,BLACK/AFRICAN AMERICAN,PNEUMONIA,2.0
Government,M,BLACK/AFRICAN AMERICAN,RECTAL CANCER/SDA,2.0
Government,M,BLACK/AFRICAN AMERICAN,"RECURRENT ENDOCARDITIS, ENLARGED AORTIC ROOT\ BENTAL PROCEDURE HOMOGRAFT REDO/SDA",2.0
Government,M,BLACK/AFRICAN AMERICAN,S/P STABBING,2.0
Government,M,BLACK/AFRICAN AMERICAN,STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK,2.0
Government,M,BLACK/AFRICAN AMERICAN,TRAUMATIC BRAIN INJURY/SDA,2.0
Government,M,BLACK/CAPE VERDEAN,ESOPHAGEAL CANCER/SDA,2.0
Government,M,BLACK/CAPE VERDEAN,NON HEALING WOUND/SDA,2.0
Government,M,BLACK/CAPE VERDEAN,UPPER GI BLEED,2.0
Government,M,BLACK/CAPE VERDEAN,VOMITING;DEHYDRATION,2.0
Government,M,HISPANIC OR LATINO,ALTERED MENTAL STATUS,2.0
Government,M,HISPANIC OR LATINO,AORTIC DISSECTION,2.0
Government,M,HISPANIC OR LATINO,ASTHMA FLARE,2.0
Government,M,HISPANIC OR LATINO,ASTHMA-COPD EXACERBATION,2.0
Government,M,HISPANIC OR LATINO,ATRIAL FIBRILLATION;TELEMETRY;RVR,3.0
Government,M,HISPANIC OR LATINO,ATRIAL FIBRILLATION;TELEMETRY;WITHDRAWAL,3.0
Government,M,HISPANIC OR LATINO,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,2.0
Government,M,HISPANIC OR LATINO,DIURETIC RESISTANCE ASCITIS,2.0
Government,M,HISPANIC OR LATINO,ETOH WITHDRAWAL,4.0
Government,M,HISPANIC OR LATINO,ETOH WITHDRAWAL;SEIZURE;HYPOTHERMIA,2.0
Government,M,HISPANIC OR LATINO,ETOH WITHDRAWAL;SEIZURES,5.0
Government,M,HISPANIC OR LATINO,GASTROINTESTINAL BLEED,2.0
Government,M,HISPANIC OR LATINO,HEART FAILURE;CARDIAC ARREST\INTRA-AORTIC BALLOON PUMP PLACEMENT,2.0
Government,M,HISPANIC OR LATINO,HIP FRACTURE,2.0
Government,M,HISPANIC OR LATINO,HYPERCAPNIA,5.0
Government,M,HISPANIC OR LATINO,HYPERTENSION,2.0
Government,M,HISPANIC OR LATINO,INTOXICATION,2.0
Government,M,HISPANIC OR LATINO,LOWER GI BLEED,3.0
Government,M,HISPANIC OR LATINO,PERICARDIAL EFFUSION,2.0
Government,M,HISPANIC OR LATINO,PHARYNGEAL ABSCESS,2.0
Government,M,HISPANIC OR LATINO,PNEUMONIA-R/O MYOCARDIAL INFARCTION,2.0
Government,M,HISPANIC OR LATINO,SARCOMA SCALP/SDA,2.0
Government,M,HISPANIC OR LATINO,SCALP LESIONS/SDA,2.0
Government,M,HISPANIC OR LATINO,SEIZURE,3.0
Government,M,HISPANIC OR LATINO,SPINAL EPIDURAL ABCESS,2.0
Government,M,HISPANIC OR LATINO,SUBDURAL HEMATOMA,2.0
Government,M,HISPANIC OR LATINO,UNSTABLE ANGINA,3.0
Government,M,HISPANIC/LATINO - COLOMBIAN,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT /SDA,2.0
Government,M,HISPANIC/LATINO - COLOMBIAN,PERICARDIAL EFFUSION,2.0
Government,M,HISPANIC/LATINO - CUBAN,AFIB WITH RVR,2.0
Government,M,HISPANIC/LATINO - DOMINICAN,CONGESTIVE HEART FAILURE;ENDOCARDITIS\TRANSESOPHAGEAL ECHOCARDIOGRAM,3.0
Government,M,HISPANIC/LATINO - GUATEMALAN,ALTERED MENTAL STATUS,4.0
Government,M,HISPANIC/LATINO - GUATEMALAN,DIABETIC KETOACIDOSIS,4.0
Government,M,HISPANIC/LATINO - PUERTO RICAN,ASTHMA;COPD EXACERBATION,3.0
Government,M,HISPANIC/LATINO - SALVADORAN,SUBARACHNOID HEMMORHAGE,3.0
Government,M,OTHER,FEVER,2.0
Government,M,OTHER,HYPERBILIRUBINEMIA,2.0
Government,M,OTHER,LEFT CAROTID BODY TUMOR/SDA\ CAROTID ANGIOGRAM; ? WITH EMBOLIZATON,2.0
Government,M,OTHER,LOWER GI BLEED,2.0
Government,M,OTHER,MENTAL STATUS CHANGES,2.0
Government,M,OTHER,NEWBORN,2.0
Government,M,OTHER,PANCREATITIS,2.0
Government,M,OTHER,PERFORATED BOWEL,2.0
Government,M,OTHER,PNEUMONIA,2.0
Government,M,OTHER,UNSTABLE ANGINA,5.0
Government,M,PORTUGUESE,HEADACHE,2.0
Government,M,PORTUGUESE,WEAKNESS,2.0
Government,M,UNKNOWN/NOT SPECIFIED,ACUTE MYOCARDIAL INFARCTION\CATH,2.0
Government,M,UNKNOWN/NOT SPECIFIED,CHEST PAIN,2.0
Government,M,UNKNOWN/NOT SPECIFIED,CORONARY ARTERY DISEASE,3.0
Government,M,UNKNOWN/NOT SPECIFIED,CORONARY ARTERY DISEASE\CATH,2.0
Government,M,UNKNOWN/NOT SPECIFIED,GI BLEED,3.0
Government,M,UNKNOWN/NOT SPECIFIED,NEWBORN,2.0
Government,M,UNKNOWN/NOT SPECIFIED,PREMATURITY,2.0
Government,M,UNKNOWN/NOT SPECIFIED,PROSTATITIS;FEVER,3.0
Government,M,UNKNOWN/NOT SPECIFIED,R/O RESPIRATORY DISTRESS,2.0
Government,M,UNKNOWN/NOT SPECIFIED,ROP;SEIZURES,2.0
Government,M,UNKNOWN/NOT SPECIFIED,RULE-OUT MYOCARDIAL INFARCTION,2.0
Government,M,UNKNOWN/NOT SPECIFIED,SOB,2.0
Government,M,UNKNOWN/NOT SPECIFIED,SUBARACHNOID HEMORRHAGE,2.0
Government,M,UNKNOWN/NOT SPECIFIED,URINARY TRACT INFECTION;PYELONEPHRITIS,2.0
Government,M,WHITE,ABDOMINAL PAIN,2.0
Government,M,WHITE,ACIDOSIS;ALTERED MENTAL STATUS,3.0
Government,M,WHITE,ACUTE RENAL FAILURE;TELEMETRY,2.0
Government,M,WHITE,ALCOHOL WITHDRAWAL,4.0
Government,M,WHITE,ALTERED MENTAL STATUS,2.5
Government,M,WHITE,ANTERIOR MI,2.0
Government,M,WHITE,AORTIC DISSECTION,2.0
Government,M,WHITE,AORTIC STENOSIS;DYSPNEA\BENTAL PROCEDURE /SDA,3.0
Government,M,WHITE,AORTIC VALVE ABSCESS,2.0
Government,M,WHITE,ATHEROSCLEROSIS WITH CLAUDICATION,3.0
Government,M,WHITE,ATRIAL FIBRILLATION;RVR,2.0
Government,M,WHITE,"BACK PAIN,CANNOT AMBULATE",2.0
Government,M,WHITE,BENZO OD,3.0
Government,M,WHITE,BLUNT TRAUMA;TELEMETRY,2.0
Government,M,WHITE,BRADYCARDIA,2.0
Government,M,WHITE,BRAIN ANEURYSM/SDA,2.0
Government,M,WHITE,BRAIN TUMOR/SDA,2.0
Government,M,WHITE,CARDIOMYOPATHY,2.0
Government,M,WHITE,CHEST PAIN\CATH,2.0
Government,M,WHITE,CHIARI MALFORMATION/SDA,2.0
Government,M,WHITE,CHOLANGITIS,2.0
Government,M,WHITE,CHRONIC BILATERAL PLEURAL EFFUSION/SDA,4.0
Government,M,WHITE,CONGESTIVE HEART FAILURE,2.0
Government,M,WHITE,CONGESTIVE HEART FAILURE;NON ST ELEVATION MI;RESPIRATORY DISTRESS,3.0
Government,M,WHITE,CORONARY ARTERY DISEASE,2.0
Government,M,WHITE,CORONARY ARTERY DISEASE;ATRIAL FIBRILLATION,2.0
Government,M,WHITE,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,3.0
Government,M,WHITE,DIABETIC KETOACIDOSIS,5.333333333333333
Government,M,WHITE,DIABETIC KETOACIDOSIS;GASTROINTESTINAL BLEED,2.0
Government,M,WHITE,DRUG OVERDOSE,2.0
Government,M,WHITE,DRUG REFRACTORY ATRIAL FIBRILLATION\LEFT ATRIAL TACHYCARDIA ABLATION ? PVI **REMOTE WEST** /SDA,2.0
Government,M,WHITE,ENDOCARDITIS,2.0
Government,M,WHITE,EPIDURALHEMATOMA,2.0
Government,M,WHITE,ETOH WITHDRAWAL,2.0
Government,M,WHITE,"ETOH WITHDRAWAL, ARF, RHABDOMYOLYSIS",3.0
Government,M,WHITE,ETOH WITHDRAWAL;EKG CHANGES,2.0
Government,M,WHITE,FEVER;BACK PAIN;NAUSEA,2.0
Government,M,WHITE,GASTROINTESTINAL BLEED,2.0
Government,M,WHITE,HYPOTENSION,4.0
Government,M,WHITE,HYYPERBILIRUBINEMIA,2.0
Government,M,WHITE,ISCHEMIC FOOT,2.0
Government,M,WHITE,ISCHEMIC LEG,2.0
Government,M,WHITE,ISCHEMIC RIGHT FOOT,2.0
Government,M,WHITE,LUNG CANCER/SDA,3.0
Government,M,WHITE,MYOCARDIAL INFARCTION,2.0
Government,M,WHITE,NEW CHF,3.0
Government,M,WHITE,NEW FISTULA,4.0
Government,M,WHITE,NEWBORN,2.0
Government,M,WHITE,PANCREATITIS,4.0
Government,M,WHITE,PHENOBARBITAL OVERDOSE,5.0
Government,M,WHITE,PNEUMOMEDIASTINUM;RHABDO;GASTROINTESTINAL BLEED,2.0
Government,M,WHITE,PNEUMONIA,3.25
Government,M,WHITE,PNEUMONIA;CHEST PAIN,3.0
Government,M,WHITE,PULMONARY EMBOLI,2.0
Government,M,WHITE,PULMONARY EMBOLUS,2.0
Government,M,WHITE,R/O MYOCARDIAL INFARCTION,3.0
Government,M,WHITE,RECTAL BLEEDING,2.0
Government,M,WHITE,RIGHT BRAIN TUMOR/SDA,2.0
Government,M,WHITE,S/P FALL,3.0
Government,M,WHITE,S/P GUN SHOT WOUND,2.0
Government,M,WHITE,S/P RESPIRATORY/CARDIAC ARREST,2.0
Government,M,WHITE,SARCOMA/SDA,3.0
Government,M,WHITE,SEPSIS,3.0
Government,M,WHITE,SHORTNESS OF BREATH;LYMPHOMA,4.0
Government,M,WHITE,SMALL BOWEL OBSTRUCTION,4.0
Government,M,WHITE,STAB WOUND,2.0
Government,M,WHITE,STERNAL HEMATOMA,3.0
Government,M,WHITE,STROKE;TIA,2.0
Government,M,WHITE,SUBARACHNOID HEMORRHAGE,2.0
Government,M,WHITE,T10 LYTIC LESION,2.0
Government,M,WHITE,TAMPONDAE,2.0
Government,M,WHITE,TRAUMATIC RIGHT UPPER EXTREMITY INJURY/SDA,2.0
Government,M,WHITE,UNRESPONSIVE,2.0
Government,M,WHITE,UNSTABLE ANGINA,2.0
Government,M,WHITE,UNSTABLE ANGINA\CATH,3.0
Government,M,WHITE,UPPER GASTROINTESTINAL BLEED,2.0
Government,M,WHITE,UPPER GI BLEED,2.0
Government,M,WHITE,UPPER GI BLEED;TELEMETRY,2.0
Government,M,WHITE,VARICEAL BLEED,2.0
Government,M,WHITE,VT ARREST,5.0
Government,M,WHITE - BRAZILIAN,ESOPHAGEAL VARICES,3.0
Government,M,WHITE - BRAZILIAN,T5 RENAL CELL METASTASIS/SDA,2.0
Medicaid,F,ASIAN,ACUTE RENAL FAILURE,4.0
Medicaid,F,ASIAN,ASTHMA,2.0
