diagnosis,admissions_count,los,los_avg
(AML) ACUTE MYELOGENOUS LEUKEMIA;HYPOTENSION,2.0,35.0,40.5
(AML) ACUTE MYELOGENOUS LEUKEMIA\BONE MARROW TRANSPLANT,2.0,46.0,40.5
+ ETT\LEFT HEART CATHETERIZATION,1.0,5.0,5.0
"+ MI,UNSTABLE ANGINA\LEFT HEART CATHETERIZATION",1.0,11.0,11.0
+ MI\CATH,1.0,10.0,10.0
+ TROPONIN,1.0,14.0,14.0
+ETT,1.25,13.5,14.0
"+ETT, S/P MI\LEFT HEART CATHETERIZATION",1.0,9.0,9.0
+ETT/CATH/BALLOON PUMP/?CABG\CATH,2.0,5.0,3.0
+ETT; CHEST PAIN\CATH,1.0,8.0,8.0
+ETT;ANGINA\CATH,1.0,6.0,6.0
+ETT;CHEST PAIN\CATH,1.0,8.666666666666666,8.666666666666666
+ETT;CORONARY ARTERY DISEASE\CATH,1.25,7.125,6.625
+ETT;DYSPNEA\CATH,1.0,8.0,8.0
+ETT;LEFT MAIN DISEASE,1.0,3.0,3.0
+ETT;UNSTABLE ANGINA\CATH,1.0,9.0,9.0
+ETT\CARDIAC CATHERIZATION,1.0,12.0,12.0
+ETT\CATH,1.1891891891891893,8.067567567567568,7.770270270270268
+ETT\LEFT HEART CATHETERIZATION,1.0,8.0,8.0
+MIBI;CATH;DEHYDRATION\CATH,1.0,11.0,11.0
+\INITIATE DIALYSIS,2.0,27.0,22.0
.\VENTRICULAR TACHYCARDIA ABLATION  **REMOTE WEST**,1.0,1.0,1.0
02-239,1.0,11.0,11.0
02-ADU,1.0,3.0,3.0
0681,1.0,4.0,4.0
0778,4.0,3.0,2.5
12-AQV,1.0,9.0,9.0
14-AAA,3.0,23.0,11.333333333333334
"17 WEEKS IUFD, SEPTIC AB",1.0,9.0,9.0
2 WEEKS/2DAYS POST PARTUM;BLEEDING,1.0,7.0,7.0
20 WKS;ABD PAIN,1.0,6.0,6.0
22 WEEKS PREGNANT;ULCER FLARE,1.0,35.0,35.0
22WKS LUPUS,3.0,11.0,16.666666666666668
24 WEEKS PREGNANT;KIDNEY STONE,1.0,13.0,13.0
25 WEEKS ABDOMINAL PAIN,1.0,42.0,42.0
"26WKS,PIH,PREECLAMPSIA",1.0,9.0,9.0
28 WEEKS PANCREATIC CANCER,1.0,18.0,18.0
28 WEEKS PREGNANT;RESPIRATORY FAILURE,1.0,9.0,9.0
29WKS & 2DAYS HYPERTENSION,1.0,5.0,5.0
"29WKS,GALLSTONE",1.0,25.0,25.0
2ND DEGREE BURN RIGHT LOWER LEG;CELLULITIS;DIABETES,3.0,28.0,23.333333333333332
2ND DEGREE HEART BLOCK,1.0,9.0,9.0
3 VESSEL CAD; ANGINA\CORONARY ARTERY BYPASS GRAFT/SDA,1.0,6.0,6.0
3 VESSEL CORONARY ARTERY DISEASE,1.0,9.0,9.0
3 VESSEL DISEASE,1.0,8.0,8.0
3 VESSEL DISEASE REQUIRING CORONARY ARTERY BYPASS GRAFT,1.0,8.0,8.0
3 VESSEL DISEASE;+ETT\CATH,1.0,6.0,6.0
3 VESSELL CORONARY ARTERY DISEASE,1.0,10.0,10.0
3-VESSEL CORONARY ARTERY DISEASE,1.0,13.0,13.0
"32 WEEKS,TWINS,PRECLAMPSIA",1.0,11.0,11.0
34 WEEKS PLACENTA CREDA AND ABD PAIN,1.0,14.0,14.0
34 WEEKS;PREGNANCY INDUCED HYPERTENSION,1.0,14.0,14.0
35.5 WKS TWINS FOR C/SECTION,1.0,13.0,13.0
37 WEEKS;ATRIAL FIBRILLATION;TELEMETRY;TACHYCARDIA,1.0,4.0,4.0
38 WK INDUCTION,1.0,5.0,5.0
39WKS LABOR,1.0,4.0,4.0
3RD AV BLOCK,1.0,1.0,1.0
3RD DEGREE HB; S/P MVC,1.0,2.0,2.0
3RD DEGREE HEART BLOCK,1.5714285714285714,4.857142857142857,5.785714285714286
3RD DEGREE HEART BLOCK SARCOID,1.0,1.0,1.0
"3RD DEGREE HEART BLOCK, AORTIC VEGETATION",5.0,0.0,17.4
3RD NERVE PALSY,2.0,0.0,12.5
"3RD, 4TH, 5TH FINGER PARTIAL AMPUATION RIGHT HAND",1.0,4.0,4.0
3RD. DEGREE AV BLOCK,1.0,13.0,13.0
40 & 6WKS LABOR,1.0,4.0,4.0
4TH VENTRICULAR TUMOR/SDA,1.0,4.0,4.0
5-7\CORONARY ARTERY BYPASS GRAFT /SDA,1.0,6.0,6.0
"6 WEEKS,HYPERGLYCEMIA",2.0,3.0,3.0
"7 DAYS PP,PULMONARY EDEMA",1.0,5.0,5.0
90% LEFT MAIN CORONARY ARTERY DISEASE,1.0,8.0,8.0
? ABSCESS,1.0,9.0,9.0
? ACUTE MI\CATH,4.0,4.0,6.25
? AORTIC DISSECTION,1.0,22.0,22.0
? AORTIC FILLING DEFECT,3.0,12.0,13.333333333333334
? BABESIOSIS,1.0,5.0,5.0
? BILE LEAK;HYPOXIA,1.0,0.0,0.0
? BOWEL OBSTRUCTION,1.5,21.5,16.5
? BOWEL PERFORATION,1.3333333333333333,18.666666666666668,17.833333333333332
? BRAIN TUMOR,1.0,22.0,22.0
? BRONCHOPLEURAL FISTULA,1.0,7.0,7.0
? CABGE,1.0,8.0,8.0
? CARDIOMYOPATHY,1.0,10.0,10.0
? CAROTID DISSECTION,1.0,3.0,3.0
? CHOLANGITIS,1.0,8.0,8.0
? CORD COMPRESSION,1.0,2.0,2.0
? CVA,1.0,3.5,3.5
? ENDOCARDITIS,1.0,12.5,12.5
? ESOPHAGEAL FB; POSS MEDIASTINITIS,1.0,1.0,1.0
? FAILURE GRAFT/SDA,1.0,12.0,12.0
? FOCAL WEAKNESS;S/P SPINE SURGERY,2.0,14.0,20.5
? FOREIGN BODY INGESTION,2.0,1.0,1.0
? GALLSTONES; PANCREATITIS,1.0,12.0,12.0
? GATROINTESTINAL BLEED,1.0,31.0,31.0
? GI BLEED,1.0,2.0,2.0
? GRAFT INFECTION,1.0,29.0,29.0
? GUILLIAN BARRE,1.0,4.0,4.0
? HEAD MASS,1.0,3.0,3.0
? INFECTED AORTA GRAFT,2.0,4.0,4.0
? INGESTION,6.0,2.0,3.6666666666666665
? INTRACRANIAL HEMORRHAGE,1.0,0.0,0.0
? ISCHEMIC BOWEL,5.0,4.0,5.0
? ISCHEMIC COLITIS,2.0,18.0,9.0
? KIDNEY TRANSPLANT REJECTION,7.0,7.0,10.714285714285714
? MENINGITIS,1.0,8.0,8.0
? NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,1.0,6.0,6.0
? OVERDOSE,1.0,5.333333333333333,5.333333333333333
? PANCREAS TRANSPLANT REJECTION,1.0,10.0,10.0
? PE,1.0,20.0,20.0
? PERITONITIS,1.0,12.0,12.0
? PNA INFILTRATE,3.0,49.0,20.666666666666668
? PSTERIOR FOSSA MASS,1.0,4.0,4.0
? PULMONARY EMBOLUS WITH DESATURATION,1.0,0.0,0.0
? PULMONARY TUBERCULOSIS,2.0,28.0,22.0
? PYELONEPHRITIS,1.0,6.0,6.0
? RHABDOMYLSIS,1.0,18.0,18.0
? RUPTURED ILIAC ANEURYSM,1.0,10.0,10.0
? SEIZURE,1.0,6.0,6.0
? SEPSIS,2.0,9.0,12.5
? SEPSIS;S/P PANCREATIC STENT,1.0,0.0,0.0
? SEPTIC ARTHRITIS,4.0,21.0,15.0
? SEPTIC KNEE,1.0,17.0,17.0
? SKULL FX,1.0,16.0,16.0
? SMALL BOWEL OBSTRUCTION,1.5,15.0,13.75
? SPINAL INJURY,1.0,11.0,11.0
? SPINE INJURY,1.0,3.0,3.0
? STERNAL WOUND INFECTION,2.0,7.0,6.5
? SUBDURAL HEMATOMA-SPINE FRACTURE,1.0,1.0,1.0
? SYNCOPE,2.0,3.0,4.0
? TB,1.0,5.0,5.0
? THYROID STORM,1.0,7.5,7.5
? UPPER GASTROINTESTINAL BLEED-NAUSEA-VOMITING,23.0,3.0,11.434782608695652
? UROSEPSIS,3.0,7.0,5.6
? VOLVULUS,4.0,9.0,17.5
?? CVA,3.0,3.0,9.333333333333334
?ANEURYSM,2.0,1.0,2.5
?ANEURYSM/SDA,1.0,7.0,7.0
?AORTIC DISSECTION,2.0,2.0,4.0
?AORTIC DISSECTION\ VALVE SPARING AND AORTIC ROUTE ARCH/SDA,2.0,6.0,4.0
?CAD\CARDIAC CATH,2.0,5.0,3.0
"?CBD STONES, ABSCESS IN LIVER, BILE LEAK",1.0,5.0,5.0
?DIABETIC KETOACIDOSIS,10.0,2.0,11.0
?ESOPHAGEAL FB,1.0,0.0,0.0
?FREE AIR,1.0,34.0,34.0
?LABOR,1.0,13.0,13.0
?LEEFT BASAL GANGLIA BLEED,1.0,6.0,6.0
?LGIB/LIVER FAILURE,1.0,11.0,11.0
?OBSTRUCTION,4.0,69.0,38.0
?OVERDOSE,1.0,2.0,2.0
?PANCREATITIS,1.0,8.0,8.0
?PCP PNEUMONIA VS. COPD EXACERBATION,1.0,1.0,1.0
?PELVIC ABSCESS;TELEMETRY,2.0,40.0,29.0
?PORTAL VEIN THROMBOSIS,1.0,5.0,5.0
?SEIZURES,1.0,4.0,4.0
?SEPSIS,2.0,3.0,7.0
?SEPSIS;PYELONEPHRITIS,1.0,3.0,3.0
?SMALL BOWEL OBSTRUCTION,1.0,13.0,13.0
?STERNAL ISSUES\STERNUM REVISION ? PLATING/SDA,4.0,36.0,16.0
?STEROID PSYCHOSIS,2.0,6.0,6.0
?TB;SHORTNESS OF BREATH,1.0,17.0,17.0
?TIA;IV HEPARIN,4.0,6.0,5.0
A - FIB,2.0,16.0,10.5
A FAILED RIGHT TOTAL HIP REPLACEMENT/SDA,1.0,5.0,5.0
A FIB,2.0,10.0,10.166666666666666
A FIB;DEHYDRATION,3.0,7.0,11.0
A FIB;PACER LEAD INFECTION\ PACER LEAD EXTRACTION W/ PUMP STANDY,1.0,11.0,11.0
A FIB;PNEUMONIA,3.0,2.0,14.666666666666666
A TYPICAL CHEST PAIN\CARDIAC CATHETERIZATION,1.0,7.0,7.0
"A,FLUTTER W,RVR,? NEW BRAIN MASS",1.0,31.0,31.0
A- FLUTTER,1.0,7.0,7.0
A-FIB,2.3333333333333335,4.333333333333333,5.833333333333333
"A-FIB,CAD,CRF",2.0,23.0,12.5
"A-FIB,R/O MI",2.0,21.0,11.0
"A-FIB,RVR/CHF,R/O MI",1.0,8.0,8.0
A-FIB;CONGESTIVE HEART FAILURE,1.0,9.0,9.0
A-FIB;CONGESTIVE HEART FAILURE\TEE;CARDIOVERSION,1.0,15.0,15.0
A-FIB;MR\ AORTIC & MITRAL VALVE REPLACEMENT;MAZE,1.0,12.0,12.0
A-FIB;RVR,3.0,3.0,4.333333333333333
A-FIB\MINI MAZE PROCEDURE BILATERAL; PULMONARY VEIN ISOLATION;VIDEO ASSISTED WITH RESECTION LEFT ATRIAL APPENDAGE  /SDA,3.0,2.0,7.0
A-FIB\TEE; CARDIOVERSION,1.0,11.0,11.0
A-FIB\THORACOSCOPIC MAZE PROCEDURE LEFT/SDA,1.0,4.0,4.0
A-FLUTTER,1.0,32.0,32.0
A. FIB,2.0,4.0,6.5
A. FLUTTER,1.0,16.0,16.0
A.FIB,2.0,9.0,5.0
A/P ARREST,2.0,0.0,3.0
AAA,1.0,10.375,10.375
AAA /SDA,2.0,7.0,6.0
AAA CAD\BENTALL PROCEDURE;CORONARY ARTERY BYPASS GRAFT/SDA,2.0,23.0,16.5
AAA REPAIR,1.0,19.0,19.0
AAA RUPTURE,1.0,0.0,0.0
"AAA, RIGHT RENAL ARTERY STENOSIS/SDA",4.0,13.0,8.5
AAA/SDA,3.0,17.0,11.125
AAA;,1.0,7.0,7.0
AAA;TELEMETRY,1.0,10.0,10.0
AAA\ ASCENDING AORTIC ANEURYSM/SDA,2.0,4.0,4.5
AAA\ RESECTION AORTIC ASCENDING ANEURYSM/SDA,1.0,5.0,5.0
AAA\/SDA,1.0,21.0,21.0
AAA\ACENDING AORTA REPAIR,1.0,19.0,19.0
AAA\AORTIC VALVE REPLACEMENT; RESECTION AORTIC ASCENDING ANEURYSM/SDA,1.0,4.0,4.0
AAA\AORTIC VALVE REPLACEMENT;ASCENDING AORTIC  REPLACEMENT;AORTIC ARCH REPLACEMENT;DHCA/SDA,1.0,7.0,7.0
AAA\ASCENDING AORTIC ARCH REPAIR/REPLACEMENT,1.0,9.0,9.0
AAA\RESECTION ANEURYSM THORACIC DESCENDING ,1.0,7.0,7.0
ABCESS,5.0,6.0,7.0
ABD ABSCESS,1.0,4.0,4.0
ABD AORTIC ANEURYSM,1.0,0.0,0.0
ABD PAIN,2.6666666666666665,18.333333333333332,17.556818181818183
"ABD PAIN, LIKELY LGIB",1.0,4.0,4.0
"ABD PAIN, MASTOCYTOSIS",17.0,5.0,5.411764705882353
"ABD PAIN,EKG CHANGES,TELEMETRY",1.0,20.0,20.0
"ABD PAIN,NAUSEA,VOMITING,DIARRHEA,MENTAL STATUS CHANGES,R/O MI",1.0,6.0,6.0
"ABD PAIN,PNA",1.0,18.0,18.0
ABD PAIN; CBD; DILATED DUCT\ERCP,1.0,8.0,8.0
"ABD TRAUMA,FREE FLUID IN ABD",1.0,14.0,14.0
ABD WOUND,3.0,38.0,22.0
ABD. PAIN,2.0,25.0,12.5
ABD. PAIN ,42.0,4.0,4.095238095238095
ABDMOMINAL PAIN,1.0,10.0,10.0
ABDOMINAL ABCESS,2.25,21.75,18.625
ABDOMINAL ABSCESS,1.9375,15.9375,17.207291666666666
ABDOMINAL ABSCESS;BACTEREMIA,2.0,37.0,24.5
ABDOMINAL ABSCESS;CHRON'S DISEASE,1.0,7.0,7.0
ABDOMINAL ABSCESS;TELEMETRY,2.0,20.0,20.5
ABDOMINAL ANEURYSM/SDA,2.0,49.0,29.0
ABDOMINAL ANEURYSM; NO RUPTURE/SDA,1.0,5.0,5.0
ABDOMINAL AORTIC ANEURYSM,1.3855421686746987,13.144578313253012,12.126907630522089
ABDOMINAL AORTIC ANEURYSM /SDA,2.0,14.0,8.5
ABDOMINAL AORTIC ANEURYSM DISECTION,2.0,9.0,9.5
ABDOMINAL AORTIC ANEURYSM LEAK,1.0,8.0,8.0
ABDOMINAL AORTIC ANEURYSM THROMBOSIS,1.0,28.0,28.0
ABDOMINAL AORTIC ANEURYSM/SDA,1.820754716981132,12.584905660377359,11.679469901168014
ABDOMINAL AORTIC ANEURYSM;,1.0,5.0,5.0
ABDOMINAL AORTIC ANEURYSM;? ULCERATIVE COLITIS,3.0,6.0,7.333333333333333
ABDOMINAL AORTIC ANEURYSM;SEVERE ILIAC DISEASE/SDA,2.0,20.0,15.5
ABDOMINAL AORTIC ANEURYSM;TELEMETRY,1.8333333333333333,8.0,7.361111111111112
ABDOMINAL AORTIC ANEURYSMECTOMY,1.0,18.0,18.0
ABDOMINAL AORTIC ANEURYSM\ABDOMINAL AORTIC ANEURYSM REPAIR/SDA,1.0,13.0,13.0
ABDOMINAL AORTIC ANEURYSM\CATH,2.0,7.0,6.333333333333334
ABDOMINAL AORTIC ANURISM REPAIR,1.0,5.0,5.0
ABDOMINAL AORTIC OCCLUSION,1.0,27.0,27.0
ABDOMINAL BLEED,4.0,8.0,4.75
ABDOMINAL BLEEDING,3.0,3.0,16.333333333333332
ABDOMINAL DISTENSION,3.0,11.666666666666666,10.857142857142856
ABDOMINAL DISTENTION;RESPIRATORY DISTRESS,2.0,2.0,5.0
ABDOMINAL FISTULA,1.5,71.5,58.25
ABDOMINAL FLUID COLLECTION,4.0,25.5,24.5
ABDOMINAL HEMORRHAGE,1.0,5.0,5.0
ABDOMINAL HERNIA; HYDRP OF GALLBLADDER/SDA,5.0,16.0,28.0
ABDOMINAL INFECTION,1.5,3.5,5.75
ABDOMINAL LAXITY/SDA,2.0,9.0,8.0
ABDOMINAL MASS,2.3333333333333335,15.0,10.916666666666666
ABDOMINAL MASS/SDA,1.0,9.0,9.0
ABDOMINAL METS,1.0,14.0,14.0
ABDOMINAL PAIM,2.0,4.0,7.5
ABDOMINAL PAIN,2.9296028880866425,12.21841155234657,11.617831162765762
ABDOMINAL PAIN DIARRHEA,1.0,1.0,1.0
ABDOMINAL PAIN INCREASED BILIRUBIN,1.0,44.0,44.0
ABDOMINAL PAIN S/P MVC,2.0,7.0,7.5
ABDOMINAL PAIN',2.0,37.0,19.0
"ABDOMINAL PAIN, HYPERKALEMIA",2.0,2.0,2.5
"ABDOMINAL PAIN, NAUSEA VOMITING",1.0,3.0,3.0
"ABDOMINAL PAIN, NAUSEA, VOMITING",1.0,2.0,2.0
"ABDOMINAL PAIN,?SEPSIS",1.0,13.0,13.0
"ABDOMINAL PAIN,FEVER",3.0,8.0,7.666666666666667
"ABDOMINAL PAIN,HYPOTENSION",2.0,8.0,8.0
"ABDOMINAL PAIN,R/O PANCREATIC CANCER IN COMMON BILE DUCT",3.0,10.0,11.333333333333334
"ABDOMINAL PAIN,SHORTNESS OF BREATH",2.0,7.0,7.5
ABDOMINAL PAIN-ACUTE RENAL FAILURE,1.0,7.0,7.0
ABDOMINAL PAIN-CHEST PAIN,2.0,32.0,19.0
ABDOMINAL PAIN-DIARRHEA,3.0,20.0,13.0
ABDOMINAL PAIN-ELECTROLYTE ABNORMALITIES,2.0,10.0,15.0
ABDOMINAL PAIN-ETOH WITHDRAWAL,6.0,6.0,4.333333333333333
ABDOMINAL PAIN-FEVER,1.0,4.0,4.0
ABDOMINAL PAIN-RENAL INSUFFICIENCY,2.0,4.0,6.0
ABDOMINAL PAIN.,6.0,50.0,16.166666666666668
ABDOMINAL PAIN/ CIRRHOSIS,2.0,6.0,12.0
ABDOMINAL PAIN/ EXPLORATORY LAPAROTOMY,1.0,8.0,8.0
ABDOMINAL PAIN/?CHOLANGITIS,1.0,5.0,5.0
ABDOMINAL PAIN/ETOH INTOXICATION,2.0,7.0,10.5
ABDOMINAL PAIN; ? CHOLANGITIS,2.0,48.0,46.5
ABDOMINAL PAIN; HYPOTENSION,3.0,23.0,16.0
ABDOMINAL PAIN;ABDOMINAL MASS,1.0,42.0,42.0
ABDOMINAL PAIN;ACUTE DIVERTICULITIS,1.0,13.0,13.0
ABDOMINAL PAIN;ACUTE RENAL FAILURE,1.0,2.0,2.0
ABDOMINAL PAIN;ANEMIA,4.0,17.0,14.5
ABDOMINAL PAIN;AORTIC DISSECTION;TELEMETRY,1.0,10.0,10.0
ABDOMINAL PAIN;ASCITES;TAHYCARDIA,1.0,16.0,16.0
ABDOMINAL PAIN;ATRIAL FIBRILLATION;CONGESTIVE HEART FAILURE,1.0,20.0,20.0
ABDOMINAL PAIN;CARDIAC ARREST,1.0,14.0,14.0
ABDOMINAL PAIN;CELLULITIS,2.0,8.0,24.5
ABDOMINAL PAIN;CHOLANGITIS,1.0,17.0,17.0
ABDOMINAL PAIN;CIRRHOSIS,1.0,1.0,1.0
ABDOMINAL PAIN;COLITIS,1.0,8.0,8.0
ABDOMINAL PAIN;DIARRHEA,1.0,7.0,7.0
ABDOMINAL PAIN;EVALUATION FOR LYMPHOMA,1.0,10.0,10.0
ABDOMINAL PAIN;EXPLORATORY LAP,4.0,12.0,18.5
ABDOMINAL PAIN;EXPLORATORY LAPAROSCOPY;BILE DUCT OBSTRUCTION,1.0,21.0,21.0
ABDOMINAL PAIN;FEVER,2.6666666666666665,6.333333333333333,14.0
ABDOMINAL PAIN;FIBROMYALGIA,1.0,9.0,9.0
ABDOMINAL PAIN;HYPOTENSION,3.0,3.0,20.375
ABDOMINAL PAIN;INABILITY TO TOLERATE PO,6.0,14.0,20.666666666666668
ABDOMINAL PAIN;JAUNDICE,1.0,8.0,8.0
ABDOMINAL PAIN;LEFT KIDNEY STONE;NEUTROPENIA,1.0,39.0,39.0
ABDOMINAL PAIN;MALFUCNTION STENT GRAFT,4.0,4.0,5.25
ABDOMINAL PAIN;MELENA,1.0,1.0,1.0
"ABDOMINAL PAIN;NAUSEA,DIARRHEA",2.0,15.0,11.0
ABDOMINAL PAIN;NAUSEA;VOMITING,11.0,4.0,3.375
ABDOMINAL PAIN;NEUTROPENIA,1.0,45.0,45.0
ABDOMINAL PAIN;OBSTRUCTIVE JAUNDICE,1.0,1.0,1.0
ABDOMINAL PAIN;PANCREATITIS,2.0,9.0,11.5
ABDOMINAL PAIN;PERFORATION,1.0,9.0,9.0
ABDOMINAL PAIN;PERICARDIAL EFFUSION,1.0,9.0,9.0
ABDOMINAL PAIN;PNEUMONIA,5.0,6.0,8.2
ABDOMINAL PAIN;PORTAL VEIN THROMBOSIS,1.0,9.0,9.0
ABDOMINAL PAIN;RECTAL CANCER,1.0,23.0,23.0
ABDOMINAL PAIN;RISING WBC,2.0,5.0,14.0
ABDOMINAL PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,3.0,3.0,5.0
ABDOMINAL PAIN;S/P ERCP,1.0,4.0,4.0
ABDOMINAL PAIN;SHORTNESS OF BREATH,1.0,2.0,2.0
ABDOMINAL PAIN;SHORTNESS OF BREATH;ELEVATED LIVER FUNCTION TEST,2.0,18.0,11.0
ABDOMINAL PAIN;SHORTNESS OF BREATH;HYPERKALEMIA,3.0,2.0,3.3333333333333335
ABDOMINAL PAIN;STENT PLACEMENT,4.0,26.0,10.5
ABDOMINAL PAIN;TELEMETRY,9.25,6.916666666666667,6.601984126984127
ABDOMINAL PAIN;URINARY TRACT INFECTION,1.0,8.0,8.0
ABDOMINAL PAIN;VOMITING,1.0,11.0,11.0
ABDOMINAL PAIN;VOMITING;INSULIN DEPENDENT DIABETES,1.0,3.0,3.0
ABDOMINAL PAIN\ERCP,1.0,1.0,1.0
ABDOMINAL PAIN\ERCP ,1.0,11.0,11.0
ABDOMINAL PERFORATION,1.4,10.4,10.266666666666666
ABDOMINAL PIAN;R/O BILE LEAK\ERCP,1.0,3.0,3.0
ABDOMINAL SEPSIS,1.0,87.5,87.5
ABDOMINAL STABBING,2.0,4.0,2.0
ABDOMINAL THORACIC ANEURYSM\ REPAIR ABDOMINAL THORACIC AORTIC ANEURYSM/SDA,2.0,27.0,23.5
ABDOMINAL TRAUMA,1.0,7.0,7.0
"ABDOMINAL TRAUMA,HYPOTENSION",1.0,0.0,0.0
"ABDOMINAL TRAUMA,IMPALED BRANCH",1.0,1.0,1.0
ABDOMINAL WALL BLEEDING,3.0,12.0,22.0
ABDOMINAL WALL HEMATOMA,1.8,12.6,13.7
ABDOMINAL WALL HERNIAS/SDA,1.0,7.0,7.0
ABDOMINAL WOUND EXPLORATION,1.0,4.0,4.0
ABDOMINAL WOUND INFECTION,1.5,19.0,20.5
ABDOMONAL PAIN,3.0,14.0,17.666666666666668
ABDONINAL PAIN',1.0,0.0,0.0
ABNORMAL AORTIC ANEURYSM,1.0,6.0,6.0
ABNORMAL EEG,1.0,2.0,2.0
ABNORMAL EKG;ELEVATED TROPONIN,1.0,15.0,15.0
ABNORMAL EKG\CATH,1.0,5.0,5.0
ABNORMAL ELEKTROKARDIOGRAMM\CARDIAC CATHETERIZATION,1.0,6.0,6.0
ABNORMAL ENDOMETRIUM,1.0,5.0,5.0
ABNORMAL ENDOSCOPY\EUS,1.0,43.0,43.0
ABNORMAL HEAD CT,2.0,4.0,8.0
ABNORMAL LABS,4.0,8.0,9.75
ABNORMAL PAPS SMEAR,1.0,0.0,0.0
ABNORMAL STESS TEST\CARDIAC CATHETERIZATION,1.0,6.0,6.0
ABOMINAL PAIN,2.0,9.0,15.5
ABSCESS,1.894736842105263,10.68421052631579,10.734962406015038
ABSCESS CELLULITIS,2.0,1.0,18.5
ABSCESS OF GALLSTONES/SDA,3.0,6.0,9.666666666666666
"ABSCESS, HYPERGLYCEMIA",1.0,5.0,5.0
"ABSCESS,SEPSIS",1.0,3.0,3.0
ABSCESS;NECROIZING FASCIITIS,1.0,5.0,5.0
ABSCESS;RULE OUT TUBERCULOSIS,1.0,8.0,8.0
AC CHOLECYSTITIS,1.0,28.0,28.0
AC PANCREATITIS,1.0,1.0,1.0
ACA ANEURYSM,2.0,8.0,4.5
ACALCULUS CHOLECYSTITIS,1.0,16.0,16.0
ACCENDING AORTIC ANEURSYM\ASSCENDING AORTA REPLACEMENT/ MAZE/SDA,1.0,4.0,4.0
ACENDING AORTA\  ROUTE REPLACEMENT VS DAVID PROCEDURE/SDA,1.0,5.0,5.0
ACENDING AORTIC ANEYRYS\BENTAL PROCEDURE /SDA,1.0,6.0,6.0
ACETABULAR FRACTURE,1.25,11.5,11.125
ACETABULAR FRACTURE;FALL,1.0,7.0,7.0
ACETAMINOPHEN  OVERDOSE,1.0,3.0,3.0
ACETAMINOPHEN OVER DOSE;LIVER FAILURE,1.0,19.0,19.0
ACETAMINOPHEN OVERDOSE,1.6666666666666667,10.666666666666666,10.777777777777777
ACETAMINOPHEN TOXICITY,1.0,6.0,6.0
ACETOMENGOHEN OVERDOSE,1.0,15.0,15.0
ACHALASIA,1.0,10.5,10.5
ACHALASIA/SDA,1.0,14.5,14.5
ACHALASIA;DEHYDRATION,1.0,8.0,8.0
ACIDEMIA,1.0,11.0,11.0
ACIDEMIA; ELECTROLYTE ABNORMALITIES,6.0,0.0,8.0
