,terms
166,displaced supracondylar fracture intracondylar extension unspecified femur sequela
167,complication implanted electronic neurostimulator generator sequela
168,sedative hypnotic anxiolytic abuse sedative hypnotic anxiolytic-induced sexual dysfunction
169,displaced oblique fracture shaft humerus unspecified arm sequela
170,primary blast injury rectum sequela
171,cutis rhomboidalis nuchae
172,unspecified motorcycle rider injured collision two- three-wheeled nontraffic accident
173,drowning submersion merchant ship overturning sequela
174,unspecified pedal cyclist injured collision pick-up truck van traffic accident sequela
175,congenital metatarsus primus varus unspecified foot
176,dislocation metatarsophalangeal joint toe
177,displaced oblique fracture shaft unspecified fibula fracture iiia iiib iiic nonunion
178,displaced fracture lesser tuberosity unspecified humerus fracture malunion
179,unspecified dislocation shoulder joint sequela
180,blister nonthermal penis sequela
181,non-pressure chronic ulcer unspecified heel midfoot fat layer exposed
182,traumatic subdural hemorrhage loss consciousness death brain injury regaining consciousness
183,congenital hydrocephalus unspecified
184,occlusion stenosis posterior cerebral artery
185,specified injury fascia tendon hip
186,cardiomyopathy diseases
187,mess hall military base place occurrence
188,injury muscles fascia tendons forearm unspecified arm sequela
189,drowning submersion merchant ship sinking sequela
190,injury liver
191,perforation tympanic membrane unspecified ear
192, bacteremia
193,benign neoplasm trachea
194,dislocation tarsometatarsal joint unspecified foot
195,specified joint disorders unspecified wrist
196,exposure ignition clothing apparel sequela
197,traumatic rupture collateral ligament little finger metacarpophalangeal interphalangeal joint sequela
198,osteopathy diseases sites
199,Right frontal hemorrhage on CT
200,incontinentia pigmenti
201,frostbite tissue necrosis unspecified sites sequela
202, endocarditis
203,SP interparenchymal hemorrhage rule out underlying lesion
204,primary open-angle glaucoma eye moderate stage
205,azoospermia radiation
206,neoplasm uncertain behavior prostate
207,term delivery preterm labor unspecified trimester applicable unspecified
208,pedal cycle passenger injured noncollision transport accident nontraffic accident
209,specified disorders cornea unspecified eye
210,burn parts alimentary tract
211,superficial introital dyspareunia
212,displaced fracture body talus fracture
213,person outside three-wheeled injured collision two- three-wheeled nontraffic accident
214,chicken coop place occurrence
215,nondisplaced spiral fracture shaft humerus arm fracture nonunion
216,functional disorders polymorphonuclear neutrophils
217,defecation
218,war operations accidental detonation onboard weapons military personnel sequela
219,military operations unspecified explosion fragments civilian sequela
220,chondrolysis hip
221,pedestrian skateboard injured collision pedal cycle traffic accident
222,perforation tympanic membrane bilateral
223,rubber causing constriction sequela
224,prosthetic implants materials gastroenterology urology devices adverse incidents
225,myoneural disorder unspecified
226,spondylosis unspecified
227,abrasion anus sequela
228,unspecified fracture unspecified leg fracture iiia iiib iiic nonunion
229,plicated tongue
230,driver bus injured collision two- three-wheeled traffic accident
231,displaced comminuted fracture shaft unspecified femur fracture healing
232,fitting adjustment dental prosthetic device
233,pressure ulcer unspecified ankle unstageable
234,unspecified fracture forearm fracture iiia iiib iiic
235,mature t/nk-cell lymphomas lymph nodes inguinal region limb
236,retracted nipple pregnancy trimester
237,displaced transverse fracture shaft ulna fracture iiia iiib iiic healing
238,bite larynx
239,malignant melanoma ear auricular canal
240,activity pilates
241,Congestive heart failure
242,displaced oblique fracture shaft unspecified femur fracture iiia iiib iiic nonunion
243,chronic osteomyelitis thigh
244,Subarachnoid hemorrhage discovered at an outside hospital
245,Poor oxygen saturation
246,displaced comminuted fracture shaft femur fracture
247,influenza influenza virus otitis media
248,occupant animal-drawn injured collision ridden
249,war operations accidental detonation onboard weapons civilian sequela
250,elephantiasis eye unspecified eyelid
251,displacement cranial spinal infusion catheter sequela
252, end stage renal disease
253,anterior dislocation proximal tibia unspecified knee sequela
254,primary blast injury unspecified ear sequela
255,unspecified fracture forearm fracture
256,attic perforation tympanic membrane unspecified ear
257,Temporal lobe contusion
258,actinic reticuloid
259,fracture shaft femur fracture nonunion
260,puncture wound foreign body unspecified head sequela
261,salter-harris physeal fracture phalanx unspecified toe fracture
262,benign neoplasm bones limb
263,pathological fracture disease hip unspecified fracture malunion
264,streptococcal arthritis hand
265,traumatic hemorrhage cerebrum unspecified loss consciousness sequela
266,superficial foreign body unspecified finger
267,chronic hematogenous osteomyelitis unspecified site
268,injury rider non-recreational watercraft pulled behind watercraft sequela
269,epiphora lacrimation lacrimal gland
270,unspecified lagophthalmos eyelid
271,motorized mobility scooter colliding stationary object
272,sprain lateral collateral ligament unspecified knee
273,lordosis unspecified site unspecified
274,benign neoplasm testis
275,nondisplaced bicondylar fracture tibia fracture iiia iiib iiic
276,Mitral valve prolapse
277,specified injury tendon head sequela
278,nonexudative age-related macular degeneration unspecified eye dry stage
279,unspecified stimulant-induced psychotic disorder hallucinations
280,pelvic inflammatory disorders diseases
281, metastatic tumor
282,wilson-mikity syndrome
283,pedestrian skateboard injured collision nonmotor unspecified whether traffic nontraffic accident sequela
284,animal-rider injured collision streetcar
285,hypertrophy bone humerus
286,pterygium progressive bilateral
287,exposure specified smoke fire flames
288,personal cervical dysplasia
289,Lung disease
290,malignant neoplasm unspecified ciliary body
291,strain flexor fascia tendon index finger forearm
292,Assessment for pulmonary edema
293,nondisplaced fracture neck radius fracture
294,laceration flexor fascia tendon index finger forearm
295,unspecified fracture metacarpal bone fracture
296,sideroblastic anemias
297,unspecified fracture toes sequela
298,inhaled undetermined sequela
299,presence cardiac vascular implant graft unspecified
300,abscess vulva
301,injury abducent nerve unspecified sequela
302,Postnasal intubation
303,direct infection unspecified joint infectious parasitic diseases
304,posterior subluxation sternoclavicular joint
305,minor contusion kidney sequela
306,abscess eyelid unspecified eye unspecified eyelid
307,corrosion degree toes nail
308,gastric contents pharynx causing asphyxiation sequela
309,bruising scalp birth injury
310,forced sexual exploitation suspected
311,nondisplaced fracture medial cuneiform unspecified foot fracture healing
312,paralytic syndrome nontraumatic intracranial hemorrhage affecting unspecified
313,post-osseointegration failure dental implant
314,abrasion wrist
315,unspecified primarily respiratory intentional self-harm
316,burn degree unspecified foot sequela
317,erectile dysfunction unspecified
318,spirochetal infection unspecified
319,displaced intertrochanteric fracture femur fracture iiia iiib iiic healing
320,osseous stenosis neural canal sacral region
321,infantile papular acrodermatitis gianotti-crosti
322,dependence cocaine-induced mood disorder
323,driver three-wheeled injured collision fixed stationary object nontraffic accident sequela
324,specified crystal arthropathies sites
325,cyst bone arm
326,antenatal chromosomal anomalies
327,esotropia noncomitancies
328,pathological fracture ankle fracture
329,specified injury peroneal artery unspecified leg
330,terrorism fires conflagration hot public safety official injured
331,malignant neoplasm portion breast
332,rheumatoid arthritis rheumatoid factor hip organ systems
333,acute chronic respiratory failure unspecified whether hypoxia hypercapnia
334,acute gastroenteropathy round viruses
335,malignant carcinoid tumor foregut unspecified
336,displaced fracture trochanter unspecified femur fracture iiia iiib iiic nonunion
337,specified crystal arthropathies unspecified elbow
338,keratopathy bullous aphakic cataract surgery unspecified eye
339,nondisplaced fracture avulsion lateral epicondyle humerus sequela
340,person outside three-wheeled injured collision railway train railway nontraffic accident
341,unspecified chronic inflammatory disorders orbit
342,retained nonmagnetic foreign body lens unspecified eye
343,pathological fracture unspecified site fracture healing
344,unspecified dislocation shoulder joint
345,displaced oblique fracture shaft radius fracture nonunion
346,injury median nerve forearm arm sequela
347,nondisplaced fracture coronoid ulna fracture iiia iiib iiic nonunion
348,passenger transport injured collision transport bus nontraffic accident
349,cutaneous leishmaniasis
350,driver injured collision two- three-wheeled nontraffic accident
351,synovitis tenosynovitis unspecified site
352,unspecified optic atrophy
353,adverse effect local local sequela
354,retained quills spines
355,nondisplaced fracture middle phalanx unspecified lesser toes sequela
356, repositioning of
357,specified crystal arthropathies ankle foot
358,corrosion degree sites unspecified wrist hand sequela
359,acquired epidermolysis bullosa unspecified
360,injuries eye orbit
361,sprain metacarpophalangeal joint unspecified thumb sequela
362, hepatitis and acute renal
363,chondrocostal junction syndrome tietze
364,unspecified fracture unspecified leg fracture nonunion
365,forms scoliosis thoracolumbar region
366,fear flying
367,disorder ligament unspecified hand
368,malformations precerebral vessels
369,physeal fracture calcaneus fracture
370,longitudinal reduction defect radius bilateral
371,unspecified injury vertebral artery
372,abuse opioid-induced psychotic disorder hallucinations
373,localized swelling mass lump unspecified limb
374,subluxation distal ulna sequela
375,building construction place occurrence
376,nondisplaced fracture lateral unspecified clavicle fracture
377,secondary chronic gout unspecified ankle foot tophus tophi
378,anterior displaced dens fracture fracture
379,driver injured collision pedestrian nontraffic accident
380,displaced oblique fracture shaft femur fracture iiia iiib iiic malunion
381,foreign object bronchus causing asphyxiation
382,non-pressure chronic ulcer unspecified unspecified leg limited breakdown skin
383,anaplastic cell lymphoma alk-negative intrapelvic lymph nodes
384,specified injury blood vessel finger sequela
385,pressure-induced tissue damage unspecified heel
386,laceration intrinsic fascia tendon unspecified thumb wrist hand
387,displaced fracture medial malleolus unspecified tibia fracture healing
388,displaced fracture proximal navicular scaphoid bone wrist fracture healing
389,chronic nasopharyngitis
390,diffuse interstitial keratitis eye
391,deuteranomaly
392,cicatricial alopecia unspecified
393,unspecified accidental drowning submersion
394,displaced spiral fracture shaft humerus unspecified arm sequela
395,specified complications surgical sequela
396,dislocation midcarpal joint wrist
397,unspecified occupant transport injured collision pedestrian nontraffic accident sequela
398,cerebral infarction thrombosis unspecified cerebellar artery
399,displaced transverse fracture shaft ulna sequela
400,physeal fracture unspecified metatarsal fracture healing
401,pathological fracture unspecified tibia fibula fracture malunion
402,shigellosis
403,displaced transverse fracture shaft fibula fracture iiia iiib iiic malunion
404,sprain anterior cruciate ligament knee sequela
405,corrosion unspecified body region unspecified degree
406,activity computer keyboarding
407,displaced fracture anterior calcaneus fracture healing
408,unspecified wound thigh sequela
409,postprocedural hemorrhage digestive organ digestive
410,legal intervention unspecified sharp objects law enforcement official injured sequela
411,unspecified physeal fracture humerus arm fracture nonunion
412,corrosion cornea conjunctival sac unspecified eye
413,specified fracture unspecified pubis fracture nonunion
414,staphyloma posticum eye
415,sepsis sequela
416,assault sharp glass
417,superficial foreign body breast breast sequela
418,unspecified eustachian salpingitis bilateral
419,nondisplaced fracture proximal phalanx unspecified finger fracture
420,Evaluate left pleural effusion status post chest tube
421,monoclonal gammopathy
422,unspecified wound scalp sequela
423,nondisplaced fracture capitate magnum bone wrist fracture
424, ascending aortic aneurysm
425,unspecified wound knee sequela
426, alcoholic cirrhosis
427,partial doubling uterus
428,parapoxvirus infection unspecified
429,hypertension secondary renal disorders
430,superficial bite hand hand sequela
431,strain extensor fascia tendon forearm unspecified arm sequela
432,x-linked ocular albinism
433,submersion being washed from other powered 
434,neonatal aspiration respiratory symptoms
435,Prolonged immobilization
436,partial loss teeth caries unspecified class
437,stage necrotizing enterocolitis newborn
438,displaced fracture anterior unspecified calcaneus fracture malunion
439,displaced fracture medial cuneiform unspecified foot fracture healing
440,hellp syndrome childbirth
441, pulmonary artery catheter
442,SP cardiac catheterization acute drop in hematocrit ro
443,psychoactive dependence remission
444,unstable burst fracture vertebra fracture healing
445,Left upper extremity swelling
446,carcinoma situ scrotum
447,breakdown surgically created arteriovenous shunt
448,flail joint unspecified elbow
449,stress fracture unspecified tibia fibula fracture malunion
450,atherosclerosis autologous vein bypass grafts extremities rest pain leg
451,strabismic amblyopia eye
452,pressure ulcer site unstageable
453,rheumatoid vasculitis rheumatoid arthritis hand
454,serum reaction serum
455,contusion unspecified eyelid periocular sequela
456,myeloma remission
457,unspecified superficial injury unspecified lesser toes
458,torus fracture ulna sequela
459,unspecified injury lesser saphenous vein leg unspecified leg sequela
460,dental assault sequela
461, new endotracheal tube
462,nonspecific reaction tuberculin skin test active tuberculosis
463,abrasion finger
464,nondisplaced fracture intermediate cuneiform foot sequela
465,pathological fracture disease unspecified ankle fracture malunion
466,environmental hyperthermia newborn
467,bite penis sequela
468,displaced oblique fracture shaft humerus arm fracture
469,displaced segmental fracture shaft radius unspecified arm fracture iiia iiib iiic healing
470,pyoderma vegetans
471,displaced spiral fracture shaft unspecified fibula fracture
472,disorder purine pyrimidine metabolism unspecified
473,calcific tendinitis forearm
474,fournier gangrene
475,injury iliac artery
476,paper-cutter
477,calcification sites
478,crystalline deposits vitreous body bilateral
479,sudden loss unspecified eye
480,scleritis corneal eye
481,transient synovitis unspecified hand
482,greenstick fracture shaft radius arm fracture
483,laceration abdominal foreign body unspecified penetration peritoneal cavity
484,Distended abdomen hypotension fever
485,fracture unspecified neck femur fracture iiia iiib iiic
486,ocular manifestations deficiency
487,congenital cystic lung
488, sepsis after AAA repair
489,dislocation distal radioulnar joint wrist
490,villonodular synovitis pigmented unspecified site
491,complication inhalation therapy
492,disorder skin subcutaneous tissue radiation unspecified
493,solar retinopathy bilateral
494,menstrual migraine intractable status migrainosus
495,strain unspecified muscles fascia tendons forearm unspecified arm sequela
496,dock shipyard place occurrence
497,Evaluate chest tube position
498,accommodative esotropia
499,disorders diseases hand
500,nondisplaced maisonneuve's fracture leg fracture iiia iiib iiic malunion
501,breakdown internal fixation device humerus
502,unavailability inaccessibility health-care facilities
503,insect bite nonvenomous thumb sequela
504,gestational pregnancy-induced hypertension significant proteinuria childbirth
505,nondisplaced fracture middle phalanx unspecified finger fracture malunion
506,torus fracture unspecified ulna fracture healing
507,merkel cell carcinoma limb hip
508,ataxia unspecified
509,laceration extensor fascia tendon finger forearm sequela
510,echinococcosis
511,ehrlichiosis chafeensis chafeensis
512,birth injuries skull
513,induced diabetes mellitus stable proliferative diabetic retinopathy bilateral
514,displaced intraarticular fracture unspecified calcaneus sequela
515,hemiplegia hemiparesis nontraumatic intracranial hemorrhage affecting unspecified
516, calcified aortic stenosis 
517,Right lower lobe pneumonia
518,malignant neoplasm upper-inner breast
519,accidental drowning submersion while natural water
520,disorders continuity bone unspecified humerus
521,accident ice yacht sequela
522,folds rupture bowman's membrane bilateral
523,arthropathies specified diseases hand
524,corrosion degree sites shoulder limb wrist hand
525,pedal cycle driver injured collision unspecified vehicles nontraffic accident
526,Large retroperitoneal hemorrhage
527,malignant neoplasm unspecified bones articular cartilage unspecified limb
528,acute kidney failure medullary necrosis
529,unspecified wound unspecified shoulder
530,intraoperative cardiac arrest cardiac surgery
531,sterilization
532,displaced segmental fracture shaft unspecified tibia fracture malunion
533,secondary postpartum hemorrhage
534,oblique atypical femoral fracture leg fracture
535,cellulitis unspecified finger
536,psychoactive dependence withdrawal uncomplicated
537,tinea corporis
538,displaced fracture neck talus fracture
539,radial collateral ligament sprain unspecified elbow
540,malar fracture fracture nonunion
541,difficult intubation puerperium
542,dislocation hip sequela
543,fracture unspecified radius fracture nonunion
544,gonococcal meningitis
545,branchial cleft malformations
546,unspecified fracture unspecified thoracic vertebra sequela
547,toxoplasma chorioretinitis
548,unspecified superficial injury foot
549,laceration unspecified blood vessel ankle foot unspecified leg sequela
550,crushed nonvenomous sequela
551,viral undetermined
552,corneal opacity bilateral
553,family sudden infant death syndrome
554,disorders diseases ankle foot
555,unstable burst fracture unspecified thoracic vertebra fracture nonunion
556,unspecified medicaments undetermined
557,soft tissue disorders overuse pressure unspecified thigh
558, necrotizing pancreatitis
559,pedal cycle passenger injured collision railway train railway traffic accident
560,legal intervention injury explosive shell bystander injured
561,barton's fracture unspecified radius fracture iiia iiib iiic
562,pterygium stationary eye
563,nondisplaced spiral fracture shaft femur fracture iiia iiib iiic nonunion
564,displacement esophageal anti-reflux device
565,abrasion unspecified forearm sequela
566,argentous corneal deposits eye
567,bite thumb damage nail sequela
568,traumatic transphalangeal amputation finger sequela
569,congenital malformation integument unspecified
570,nondisplaced fracture tuberosity unspecified calcaneus fracture nonunion
571,displaced transverse fracture shaft unspecified tibia fracture iiia iiib iiic malunion
572,deformity fingers unspecified fingers
573,unspecified injury unspecified muscles tendons leg leg sequela
574,unspecified occupant fire engine injured nontraffic accident
575,specified complication vascular prosthetic devices implants grafts sequela
576,rheumatoid polyneuropathy rheumatoid arthritis unspecified knee
577,alzheimer's disease onset
578,embryonic cyst cervix
579,unspecified choroidal detachment eye
580,zoster complications
581,unspecified atrial fibrillation
582,A 59yearold man status post coronary artery bypass graft 3
583,Tension pneumothorax
584,laceration blood vessels leg leg sequela
585,joint disorder unspecified
586,Mitral valve disease preop
587,physeal fracture phalanx unspecified toe fracture malunion
588,unspecified wound unspecified front thorax penetration thoracic cavity
589,neonatal jaundice breast inhibitor
590,satiety
591,stress fracture tibia fracture malunion
592,laceration extensor fascia tendon middle finger forearm sequela
593,SP fall laceration on head
594,Minimally invasive mitral valve repair
595,smoking puerperium
596,displaced spiral fracture shaft unspecified tibia fracture
597,plantar wart
598,mature t/nk-cell lymphomas lymph nodes head face neck
599,hypothermia sequela
600,pedestrian foot injured collision two- three-wheeled nontraffic accident
601,nondisplaced fracture proximal phalanx unspecified thumb fracture malunion
602,malignant neoplasm pylorus
603,neonatal rectal hemorrhage
604,pupillary membranes bilateral
605,underdosing their sequela
606,cellulitis finger
607,osteoporosis pathological fracture unspecified forearm fracture malunion
608,surgical aftercare surgery teeth cavity
609,displaced fracture avulsion medial epicondyle humerus fracture malunion
610,unspecified fracture ulna fracture malunion
611, nausea
612,sprain finger sequela
613, fluid collection
614,fall off toilet striking against object
615,pauciarticular juvenile rheumatoid arthritis unspecified ankle foot
616,secondary osteoarthritis hand
617,disseminated mycobacterium avium-intracellulare complex dmac
618,preglaucoma unspecified unspecified eye
619,mast cell neoplasms uncertain behavior
620,strain fascia tendon triceps unspecified arm sequela
621,nondisplaced fracture unspecified tibial spine fracture iiia iiib iiic malunion
622,Rickettsiosis Ehrlichia sennetsu
623,drowning submersion fishing boat sinking
624,mining earth-drilling machinery sequela
625,abrasion scalp sequela
626,legal intervention injury rubber bullet unspecified person injured sequela
627,pasteurellosis
628,nondisplaced fracture posterior acetabulum fracture healing
629,passenger transport injured collision unspecified vehicles traffic accident
630,displaced pilon fracture unspecified tibia fracture healing
631,unspecified diabetes mellitus childbirth
632,penetrating wound orbit foreign body unspecified eye sequela
633,unspecified injury unspecified achilles tendon
634,cutaneous t-cell lymphoma unspecified lymph nodes inguinal region limb
635,unspecified chronic conjunctivitis eye
636,contusion index finger damage nail
637,loss teeth periodontal diseases unspecified class
638,myositis ossificans progressiva sites
639,thrombosis genitourinary prosthetic devices implants grafts sequela
640,reiter's disease shoulder
641,retained intraocular foreign body magnetic sites unspecified eye
642,subluxation radiocarpal joint wrist sequela
643,pedestrian skateboard injured collision two- three-wheeled nontraffic accident sequela
644,complication mesenteric artery sequela
645,displaced fracture unspecified tibial tuberosity fracture malunion
646,injury nerves forearm arm
647,hypovolemia
648,specified diseases pancreas
649,esophagus causing injury sequela
650,fracture subcondylar mandible sequela
651,displaced fracture coronoid ulna fracture
652,occupant driver passenger pick-up truck van injured unspecified nontraffic accident sequela
653,Trauma question pneumothorax
654,specified diabetes mellitus proliferative diabetic retinopathy traction retinal detachment macula unspecified eye
655,person outside bus injured noncollision transport accident nontraffic accident sequela
656,Leg pain status post trauma
657,ankylosis elbow
658,unspecified superficial injury unspecified ear sequela
659,Asphyxiation smothering under pillow 
660,drowning submersion jumping crushed merchant ship sequela
661,transverse atypical femoral fracture unspecified leg fracture
662,adverse effect unspecified medicaments sequela
663,unspecified dislocation finger sequela
664,displaced midcervical fracture femur sequela
665,spasmodic torticollis
666,postprocedural hematoma circulatory organ
667,benign carcinoid tumor intestine unspecified portion
668,separation nontraumatic arm
669,displaced fracture medial condyle unspecified humerus fracture nonunion
670,struck skate blades sequela
671,neoplasm uncertain behavior parathyroid gland
672,ghost vessels corneal bilateral
673,hemoglobinuria hemolysis
674, thoracic aortic aneurysm need for
675,postimmunization arthropathy unspecified wrist
676,otitic barotrauma
677,chronic embolism thrombosis tibial vein
678,varicose veins unspecified extremity ulcer leg
679,unspecified superficial injury unspecified elbow
680,intraoperative hemorrhage hematoma circulatory organ
681,cardiac failure pregnancy unspecified trimester
682,ambulatory surgery center place occurrence
683,fall unspecified water causing drowning submersion sequela
684,dislocation metatarsophalangeal joint lesser toes sequela
685, alcoholic hepatitis please place feeding tube
686,abuse alcohol-induced anxiety disorder
687,ultralight microlight powered-glider explosion injuring occupant sequela
688,posterior subluxation sternoclavicular joint sequela
689,unspecified occupant three-wheeled injured collision transport bus nontraffic accident
690,pedestrian rolling-type pedestrian conveyance colliding stationary object sequela
691,malignant neoplasm ethmoidal sinus
692,cholesterolosis gallbladder
693,disorder ligament unspecified wrist
694,disability determination
695,nondisplaced fracture distal pole navicular scaphoid bone unspecified wrist fracture nonunion
696,aftercare explantation shoulder joint prosthesis
697,cleft palate unspecified
698,epidermolysis bullosa letalis
699,Evaluate chest tube placement
700,nondisplaced oblique fracture shaft femur fracture healing
701,severe pre-eclampsia trimester
702,disease pancreas unspecified
703,maternal disproportion hydrocephalic fetus fetus
704,strain specified muscles fascia tendons wrist hand unspecified hand sequela
705,cellularity hodgkin lymphoma lymph nodes axilla limb
706,nondisplaced spiral fracture shaft unspecified tibia fracture iiia iiib iiic nonunion
707,specified disorders white blood cells
708, questionable edema with fever
709,exposure welding arc
710,follicular lymphoma grade intrapelvic lymph nodes
711,lymphocytopenia
712,unspecified fracture shaft unspecified ulna fracture
713,newborn affected unspecified morphological functional abnormalities placenta
714,superficial bite ear sequela
715,bite unspecified forearm
716,inappropriate local application packing
717,complications colostomy
718,inhaled intentional self-harm
719,injury fascia tendon parts biceps arm sequela
720,complication ocular prosthetic devices implants grafts sequela
721,laceration foreign body unspecified thumb damage nail sequela
722, vascular catheter
723,chondromalacia site
724,unspecified tear unspecified meniscus injury unspecified knee sequela
725,sexually transmitted chlamydial infection sites
726,chronic kidney disease stage moderate
727,complication artificial skin graft decellularized allodermis
